id,name,state,lat,lng,population,population_growth_pct,median_weekly_household_income,median_weekly_rent,overseas_born_pct,family_households_pct,culture_1_country,culture_1_pct,culture_2_country,culture_2_pct,culture_3_country,culture_3_pct,culture_4_country,culture_4_pct,train_pct,tram_pct,bus_pct,car_pct,bicycle_pct,walked_pct,worked_from_home_pct,primary_school_drive_time,hospital_drive_time,gp_clinic_drive_time,childcare_drive_time,cluster_id,cluster_label,similar_suburbs,census_year
vic-noble-park-north,Noble Park North,VIC,-37.951883458499935,145.1871137885277,7436,-0.4,1452,351,55.6,75.0,Australia,44.4,India,5.3,Vietnam,5.1,Sri Lanka,4.3,1.4,0.0,0.8,61.8,0.2,0.6,17.2,2–4 min,4–10 min,0–2 min,0–2 min,3,Culturally diverse + More affordable incomes,Dandenong North; Sunshine West; Deer Park,2021
vic-north-melbourne,North Melbourne,VIC,-37.79684201599997,144.94352057369716,14953,0.1,1717,381,51.0,47.7,Australia,49.0,China,7.7,Vietnam,2.8,Malaysia,2.6,1.8,5.7,0.5,18.4,3.5,12.1,39.0,2–4 min,2–4 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Travancore; Footscray; West Melbourne,2021
vic-north-warrandyte,North Warrandyte,VIC,-37.726199044499936,145.2127296768967,3027,2.4,2766,526,18.0,86.5,Australia,82.0,England,4.0,New Zealand,1.5,South Africa,0.8,0.4,0.0,0.6,42.8,0.0,0.5,37.8,4–10 min,10–30 min,4–10 min,2–4 min,9,Higher-income + Family-oriented,Eltham North; Wonga Park; Warrandyte,2021
vic-northcote,Northcote,VIC,-37.77227040999995,145.00092232317667,25276,2.9,2287,475,27.7,60.6,Australia,72.3,England,3.8,Greece,3.5,New Zealand,2.3,2.7,1.6,0.6,24.6,4.5,2.5,46.8,2–4 min,4–10 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Princes Hill; Alphington; Elsternwick,2021
vic-notting-hill,Notting Hill,VIC,-37.905303314499974,145.1414152764905,2895,-5.1,1574,371,64.7,59.1,Australia,35.3,China,12.0,Sri Lanka,7.9,India,7.3,1.4,0.0,1.7,46.2,0.2,3.7,27.5,2–4 min,4–10 min,2–4 min,2–4 min,3,Culturally diverse + More affordable incomes,Laverton; Box Hill; Clayton,2021
vic-nunawading,Nunawading,VIC,-37.81688659599996,145.17629033764905,12413,4.5,1938,391,42.6,69.6,Australia,57.4,China,8.7,India,4.6,Malaysia,2.4,3.2,0.0,0.8,41.1,0.3,1.1,34.7,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Ashwood; Huntingdale; Oakleigh,2021
vic-nutfield,Nutfield,VIC,-37.601346850499965,145.18590341711706,158,3.9,1916,212,22.8,91.5,Australia,77.2,England,3.2,New Zealand,2.5,,,0.0,0.0,0.0,48.6,0.0,0.0,25.7,4–10 min,10–30 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Tonimbuk; Mount Burnett; Iona,2021
vic-oak-park,Oak Park,VIC,-37.71822532999994,144.91990436062076,6714,8.2,2201,401,38.0,70.9,Australia,62.0,India,4.2,Nepal,3.0,China,2.2,5.3,0.0,0.2,39.5,0.5,0.8,35.5,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Blackburn; Mitcham; Hughesdale,2021
vic-oaklands-junction,Oaklands Junction,VIC,-37.580114850999934,144.83264039905683,439,1.4,2550,462,22.1,87.1,Australia,77.9,Italy,1.6,England,1.4,Zimbabwe,1.4,0.0,0.0,0.0,58.3,0.0,0.0,21.1,4–10 min,10–30 min,4–10 min,2–4 min,9,Higher-income + Family-oriented,Croydon Hills; Yarrambat; Belgrave South,2021
vic-oakleigh,Oakleigh,VIC,-37.899599741999964,145.09534943312593,8442,7.0,1926,410,42.4,67.8,Australia,57.6,Greece,6.0,China,5.6,India,4.3,3.4,0.1,1.2,39.9,0.7,2.0,34.2,2–4 min,4–10 min,0–2 min,0–2 min,6,Share / non-family households + More affordable incomes,Ashwood; Box Hill South; Nunawading,2021
